Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,Annotation
"Recurring Nightmare",1,52725,Rare,VMA,137/325,No,No,0
"Yawgmoth's Will",1,52781,Mythic Rare,VMA,148/325,No,No,0
"Burning of Xinye",1,52789,Rare,VMA,151/325,No,No,0
"Chain Lightning",1,52911,Common,VMA,153/325,No,No,0
"Fireblast",1,53071,Uncommon,VMA,159/325,No,No,0
"Flametongue Kavu",1,52917,Uncommon,VMA,160/325,No,No,0
"Mind's Desire",1,52753,Rare,VMA,80/325,No,No,0
"Council's Judgment",1,53181,Rare,VMA,20/325,No,No,0
"Parallax Wave",1,52839,Rare,VMA,37/325,No,No,0
"Swords to Plowshares",1,52909,Uncommon,VMA,51/325,No,No,0
"Brain Freeze",1,53153,Uncommon,VMA,57/325,No,No,0
"Counterspell",1,52827,Common,VMA,64/325,No,No,0
"High Tide",1,53217,Uncommon,VMA,73/325,No,No,0
"Timetwister",1,53119,Bonus,VMA,3/325,No,No,0
"Time Walk",1,52987,Bonus,VMA,2/325,No,No,0
"Eidolon of the Great Revel",1,52246,Rare,JOU,94/165,No,No,0
"Goblin Rabblemaster",1,53500,Rare,M15,145/269,No,No,0
"Elvish Mystic",1,53460,Common,M15,173/269,No,No,0
"Reclamation Sage",1,53606,Uncommon,M15,194/269,No,No,0
"Monastery Swiftspear",1,54108,Uncommon,KTK,118/269,No,No,0
"Bloodsoaked Champion",1,54172,Rare,KTK,66/269,No,No,0
"Zurgo Bellstriker",1,56050,Rare,DTK,169/264,No,No,0
"Dragonlord Atarka",1,55976,Mythic Rare,DTK,216/264,No,No,0
"Kolaghan's Command",1,56082,Rare,DTK,224/264,No,No,0
"Monastery Mentor",1,55410,Mythic Rare,FRF,20/185,No,No,0
"Soulfire Grand Master",1,55614,Mythic Rare,FRF,27/185,No,No,0
"Whisperwood Elemental",1,55586,Mythic Rare,FRF,145/185,No,No,0
"Goblin Welder",1,54727,Rare,C14,177/337,No,No,0
"Dig Through Time",1,54316,Rare,KTK,36/269,No,No,0
"Treasure Cruise",1,54300,Common,KTK,59/269,No,No,0
"Noble Hierarch",1,57112,Rare,MM2,151/249,No,No,0
"Abbot of Keral Keep",1,58042,Rare,ORI,127/272,No,No,0
"Pia and Kiran Nalaar",1,57990,Rare,ORI,157/272,No,No,0
"Nissa, Vastwood Seer",1,58056,Mythic Rare,ORI,189/272,No,No,0
"Iona, Shield of Emeria",1,57158,Mythic Rare,MM2,20/249,No,No,0
"Remand",1,57372,Uncommon,MM2,55/249,No,No,0
"Repeal",1,57378,Common,MM2,56/249,No,No,0
"Vendilion Clique",1,57380,Mythic Rare,MM2,67/249,No,No,0
"Bitterblossom",1,57054,Mythic Rare,MM2,71/249,No,No,0
"Dark Confidant",1,57344,Mythic Rare,MM2,75/249,No,No,0
"Banefire",1,57128,Rare,MM2,104/249,No,No,0
"Burst Lightning",1,57148,Common,MM2,109/249,No,No,0
"Splinter Twin",1,57186,Rare,MM2,129/249,No,No,0
"Wildfire",1,57020,Rare,MM2,134/249,No,No,0
"Kytheon, Hero of Akros",1,57876,Mythic Rare,ORI,23/272,No,No,0
"Dark Petition",1,57968,Rare,ORI,90/272,No,No,0
"Languish",1,58156,Rare,ORI,105/272,No,No,0
"Gideon, Ally of Zendikar",1,58317,Mythic Rare,BFZ,29/274,No,No,0
"Goblin Dark-Dwellers",1,59543,Rare,OGW,110/184,No,No,0
"Archangel Avacyn",1,59766,Mythic Rare,SOI,5/297,No,No,0
"Heir of Falkenrath",1,59960,Uncommon,SOI,116/297,No,No,0
"Tireless Tracker",1,60320,Rare,SOI,233/297,No,No,0
"Winter Orb",1,60791,Rare,EMA,234/249,No,No,0
"Vindicate",1,60817,Rare,EMA,210/249,No,No,0
"Young Pyromancer",1,60799,Uncommon,EMA,155/249,No,No,0
"Mystical Tutor",1,60891,Rare,EMA,62/249,No,No,0
"Entomb",1,60881,Rare,EMA,87/249,No,No,0
"Toxic Deluge",1,60829,Rare,EMA,108/249,No,No,0
"Sneak Attack",1,60769,Mythic Rare,EMA,148/249,No,No,0
"Sulfuric Vortex",1,60823,Rare,EMA,150/249,No,No,0
"Natural Order",1,60547,Mythic Rare,EMA,177/249,No,No,0
"Daze",1,60897,Uncommon,EMA,44/249,No,No,0
"Path to Exile",1,63169,Uncommon,MM3,17/249,No,No,0
"Snapcaster Mage",1,63517,Mythic Rare,MM3,50/249,No,No,0
"Griselbrand",1,63341,Mythic Rare,MM3,72/249,No,No,0
"Inquisition of Kozilek",1,63497,Uncommon,MM3,75/249,No,No,0
"Hellrider",1,63309,Rare,MM3,98/249,No,No,0
"Zealous Conscripts",1,63333,Rare,MM3,116/249,No,No,0
"Harmonize",1,63093,Uncommon,MM3,128/249,No,No,0
"Azorius Signet",1,63241,Uncommon,MM3,215/249,No,No,0
"Boros Signet",1,63239,Uncommon,MM3,217/249,No,No,0
"Dimir Signet",1,63385,Uncommon,MM3,219/249,No,No,0
"Golgari Signet",1,63243,Uncommon,MM3,220/249,No,No,0
"Gruul Signet",1,63307,Uncommon,MM3,222/249,No,No,0
"Izzet Signet",1,63233,Uncommon,MM3,223/249,No,No,0
"Orzhov Signet",1,63305,Uncommon,MM3,224/249,No,No,0
"Rakdos Signet",1,63235,Uncommon,MM3,225/249,No,No,0
"Selesnya Signet",1,63387,Uncommon,MM3,226/249,No,No,0
"Simic Signet",1,63237,Uncommon,MM3,227/249,No,No,0
"Baral, Chief of Compliance",1,62653,Rare,AER,28/184,No,No,0
"Fatal Push",1,62689,Uncommon,AER,57/184,No,No,0
"Torrential Gearhulk",1,61917,Mythic Rare,KLD,67/264,No,No,0
"Chandra, Torch of Defiance",1,61573,Mythic Rare,KLD,110/264,No,No,0
"Bomat Courier",1,62075,Rare,KLD,199/264,No,No,0
"Smuggler's Copter",1,61797,Rare,KLD,235/264,No,No,0
"Incendiary Flow",1,61208,Uncommon,EMN,133/205,No,No,0
"Spell Queller",1,61480,Rare,EMN,189/205,No,No,0
"Balance",1,60981,Mythic Rare,EMA,2/249,No,No,0
"Control Magic",1,60883,Rare,EMA,42/249,No,No,0
"Hazoret the Fervent",1,63874,Mythic Rare,AKH,136/269,No,No,0
"Crucible of Worlds",1,68621,Mythic Rare,M19,229/280,No,No,0
"Dauntless Bodyguard",1,67493,Uncommon,DAR,14/269,No,No,0
"The Mirari Conjecture",1,67579,Rare,DAR,57/269,No,No,0
"Teferi, Hero of Dominaria",1,67879,Mythic Rare,DAR,207/269,No,No,0
"Armageddon",1,66924,Mythic Rare,A25,5/249,No,No,0
"Imperial Recruiter",1,67186,Mythic Rare,A25,136/249,No,No,0
"Pyroclasm",1,67206,Uncommon,A25,146/249,No,No,0
"Arbor Elf",1,67234,Common,A25,160/249,No,No,0
"Regrowth",1,67288,Uncommon,A25,187/249,No,No,0
"Pernicious Deed",1,67338,Rare,A25,212/249,No,No,0
"Sundering Titan",1,67380,Rare,A25,233/249,No,No,0
"Mastermind's Acquisition",1,66607,Rare,RIX,77/196,No,No,0
"Ravenous Chupacabra",1,66617,Uncommon,RIX,82/196,No,No,0
"Dire Fleet Daredevil",1,66651,Rare,RIX,99/196,No,No,0
"Jace, Vryn's Prodigy",1,66435,Mythic Rare,V17,12/15,No,No,0
"Nature's Claim",1,66233,Common,IMA,177/249,No,No,0
"Wall of Roots",1,66259,Common,IMA,190/249,No,No,0
"Oblivion Stone",1,66325,Rare,IMA,223/249,No,No,0
"Star Compass",1,66337,Common,IMA,229/249,No,No,0
"Thran Dynamo",1,66339,Uncommon,IMA,230/249,No,No,0
"Rampaging Ferocidon",1,65324,Rare,XLN,154/279,No,No,0
"Carnage Tyrant",1,65376,Mythic Rare,XLN,179/279,No,No,0
"Earthshaker Khenra",1,64664,Rare,HOU,90/199,No,No,0
"The Scarab God",1,64774,Mythic Rare,HOU,145/199,No,No,0
"Liliana, Death's Majesty",1,63796,Mythic Rare,AKH,97/269,No,No,0
"Glorybringer",1,63870,Rare,AKH,134/269,No,No,0
"Thief of Sanity",1,69783,Rare,GRN,205/259,No,No,0
"Assassin's Trophy",1,69677,Rare,GRN,152/259,No,No,0
"Gutterbones",1,71152,Rare,RNA,76/259,No,No,0
"Light Up the Stage",1,71214,Uncommon,RNA,107/259,No,No,0
"Judith, the Scourge Diva",1,71370,Rare,RNA,185/259,No,No,0
"Blast Zone",1,72094,Rare,WAR,244/264,No,No,0
"Casualties of War",1,71980,Rare,WAR,187/264,No,No,0
"Nissa, Who Shakes the World",1,71944,Rare,WAR,169/264,No,No,0
"Bolas's Citadel",1,71764,Rare,WAR,79/264,No,No,0
"Gideon Blackblade",1,71632,Mythic Rare,WAR,13/264,No,No,0
"Wall of Blossoms",1,72752,Uncommon,MH1,190/254,No,No,0
"Hexdrinker",1,72708,Mythic Rare,MH1,168/254,No,No,0
"Firebolt",1,72616,Uncommon,MH1,122/254,No,No,0
"Man-o'-War",1,72482,Common,MH1,55/254,No,No,0
"Fact or Fiction",1,72472,Uncommon,MH1,50/254,No,No,0
"Chandra, Acolyte of Flame",1,73151,Rare,M20,126/280,No,No,0
"Knight of Autumn",1,69739,Rare,GRN,183/259,No,No,0
"Once Upon a Time",1,78478,Rare,ELD,169/269,No,No,0
"Gilded Goose",1,78458,Rare,ELD,160/269,No,No,0
